Weapons,2007,2008,2009,2010,2011,,,,
Total,14916,14224,13752,13164,12664,,,,
Total firearms:,10129,9528,9199,8874,8583,, ,,
Handguns,7398,6800,6501,6115,6220,,,,
Rifles,453,380,351,367,323, , ,,
Shotguns,457,442,423,366,356, ,,,
Other guns,116,81,96,93,97, ,,,
"Firearms, type not stated",1705,1825,1828,1933,1587,,,,
Knives or cutting instruments,1817,1888,1836,1732,1694,,,,
"Blunt objects (clubs, hammers, etc.)",647,603,623,549,496,,,,
"Personal weapons (hands, fists, feet, etc.)1",869,875,817,769,728,,,, 
Poison,10,9,7,11,5,, ,,
Explosives,1,11,2,4,12,,,,
Fire,131,85,98,78,75,,,,
Narcotics,52,34,52,45,29,,,,
Drowning,12,16,8,10,15,,,,
Strangulation,134,89,122,122,85,,,,
Asphyxiation,109,87,84,98,89,,,,
Other weapons or weapons not stated,1005,999,904,872,853,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
, ,,,,,,,,
 ,,,,,,,,,
